ImageId,PredictedLabel,Confidence
1,2,1.0
2,0,0.9999999
3,9,0.9999298
4,9,0.87408906
5,3,0.9014075
6,7,0.99990106
7,0,1.0
8,3,1.0
9,0,1.0
10,3,1.0
11,5,1.0
12,7,0.9998361
13,4,0.9999883
14,0,1.0
15,4,0.99999213
16,3,0.99995196
17,3,0.9999969
18,1,0.9999999
19,9,0.99999666
20,0,1.0
21,9,0.9999989
22,1,1.0
23,1,0.9989222
24,5,1.0
25,7,1.0
26,4,0.9999999
27,2,1.0
28,7,0.9999999
29,4,0.9999951
30,7,0.99999917
31,7,0.99992406
32,5,0.99997807
33,4,1.0
34,2,1.0
35,6,1.0
36,2,0.9999968
37,5,0.9999939
38,5,1.0
39,1,0.99997807
40,6,0.99999774
41,7,0.9999999
42,7,1.0
43,4,1.0
44,9,1.0
45,8,0.9999162
46,7,1.0
47,8,1.0
48,2,0.9999907
49,6,0.99998856
50,7,0.99996006
51,6,1.0
52,8,1.0
53,8,1.0
54,3,1.0
55,8,1.0
56,2,1.0
57,1,1.0
58,2,0.9999765
59,2,0.99778545
60,9,0.49575248
61,4,0.9999782
62,1,0.9999995
63,7,1.0
64,0,0.9999999
65,0,0.9999509
66,0,1.0
67,1,0.999985
68,9,0.99954563
69,0,1.0
70,1,1.0
71,6,1.0
72,5,0.9999951
73,8,1.0
74,8,1.0
75,2,0.9999932
76,8,0.99979216
77,9,0.99882144
78,9,1.0
79,2,1.0
80,3,1.0
81,5,1.0
82,4,0.97612244
83,1,1.0
84,0,0.9936132
85,9,0.9999989
86,2,1.0
87,4,1.0
88,3,1.0
89,6,1.0
90,7,1.0
91,2,1.0
92,0,1.0
93,6,1.0
94,6,1.0
95,1,0.9998832
96,4,0.99999857
97,3,1.0
98,9,0.9998228
99,7,1.0
100,4,0.9999659
101,0,0.99988353
102,9,0.99970394
103,2,0.99999857
104,0,0.99999964
105,7,1.0
106,3,0.9999999
107,0,1.0
108,5,0.9999999
109,0,1.0
110,9,0.6532354
111,0,0.99980503
112,0,1.0
113,4,0.9999914
114,7,0.9999988
115,1,1.0
116,7,0.99997735
117,1,0.99999857
118,1,0.99999976
119,3,0.9999999
120,3,1.0
121,3,1.0
122,7,1.0
123,2,1.0
124,8,0.9999999
125,6,0.9999999
126,3,1.0
127,8,1.0
128,7,0.9999987
129,7,0.99703443
130,4,0.99997413
131,3,0.99933976
132,5,0.9999931
133,6,0.99998987
134,0,0.99946254
135,0,1.0
136,0,0.99999976
137,3,1.0
138,1,1.0
139,3,0.97623914
140,6,0.99999416
141,4,0.5540423
142,3,0.9999999
143,4,0.99999905
144,5,0.9999999
145,5,0.99999416
146,8,1.0
147,7,1.0
148,7,0.9999999
149,2,1.0
150,8,0.99996984
151,4,0.9999969
152,3,1.0
153,5,0.9999987
154,6,0.99999607
155,5,0.99981445
156,3,0.9999995
157,7,1.0
158,5,0.9999696
159,7,1.0
160,8,1.0
161,3,1.0
162,0,0.9999999
163,4,1.0
164,5,0.99999094
165,1,0.99999976
166,2,0.9967002
167,7,0.9999999
168,6,0.99999976
169,3,0.99999964
170,0,1.0
171,2,1.0
172,7,1.0
173,8,0.9998709
174,6,1.0
175,1,1.0
176,3,1.0
177,7,1.0
178,4,0.99995255
179,1,0.9999993
180,2,0.9999933
181,4,1.0
182,8,0.84369373
183,5,0.9999989
184,2,1.0
185,4,0.99999774
186,9,1.0
187,2,1.0
188,1,1.0
189,6,0.99999607
190,0,1.0
191,6,1.0
192,1,0.9999976
193,4,0.99999475
194,9,0.9999987
195,6,1.0
196,0,1.0
197,9,0.99996877
198,7,1.0
199,6,0.9983247
200,9,0.9999994
201,1,1.0
202,9,0.9999906
203,0,0.999998
204,9,0.9987702
205,9,1.0
206,0,1.0
207,8,1.0
208,4,0.9999995
209,6,0.999946
210,2,1.0
211,0,0.9999999
212,9,0.9999993
213,3,1.0
214,6,1.0
215,3,0.9999999
216,2,0.9999995
217,1,1.0
218,6,0.9999999
219,3,1.0
220,4,1.0
221,2,1.0
222,3,0.9999999
223,1,0.99999714
224,2,0.99999726
225,2,1.0
226,0,0.9998932
227,4,0.99859387
228,6,1.0
229,1,1.0
230,0,1.0
231,0,1.0
232,4,0.9999361
233,9,1.0
234,1,0.9999995
235,7,0.99999726
236,3,1.0
237,2,1.0
238,3,1.0
239,8,1.0
240,6,0.9999999
241,8,1.0
242,6,1.0
243,2,1.0
244,8,0.99999774
245,5,1.0
246,5,0.99999964
247,4,0.8387276
248,8,1.0
249,3,0.9999939
250,5,0.9748301
251,9,1.0
252,7,1.0
253,1,0.9999999
254,3,0.99999845
255,8,1.0
256,4,0.99919754
257,5,0.9999567
258,1,1.0
259,4,1.0
260,5,0.97963685
261,6,1.0
262,3,1.0
263,3,1.0
264,5,0.9999999
265,7,0.9999999
266,0,1.0
267,6,1.0
268,8,1.0
269,3,0.9996921
270,1,0.9999999
271,6,0.9999325
272,0,1.0
273,6,1.0
274,3,1.0
275,9,0.9999913
276,5,0.4985111
277,1,1.0
278,5,0.9999685
279,8,1.0
280,4,1.0
281,0,1.0
282,9,0.9999262
283,2,1.0
284,0,0.9999993
285,5,0.99999464
286,3,1.0
287,7,1.0
288,1,0.99725014
289,9,0.9999999
290,9,0.9999999
291,5,1.0
292,7,0.9999938
293,7,1.0
294,9,0.9999995
295,9,0.9999989
296,6,1.0
297,3,1.0
298,0,0.9999989
299,3,1.0
300,3,1.0
301,6,1.0
302,9,0.9999989
303,8,0.9999995
304,2,1.0
305,6,0.9976363
306,3,0.9999106
307,7,0.9999993
308,1,0.99999845
309,4,1.0
310,5,0.99999976
311,8,1.0
312,5,0.9999989
313,9,0.99920124
314,0,0.99998057
315,0,0.99999785
316,3,1.0
317,8,0.99856275
318,4,0.99999905
319,1,1.0
320,8,0.9999999
321,4,1.0
322,1,0.99998665
323,1,0.99999976
324,9,0.9999999
325,8,1.0
326,4,1.0
327,5,0.96918416
328,1,1.0
329,5,0.99932206
330,3,0.99999833
331,6,1.0
332,3,1.0
333,1,1.0
334,3,1.0
335,0,0.9999999
336,9,0.9999927
337,0,0.9999993
338,0,0.9999634
339,6,1.0
340,0,0.99999964
341,6,1.0
342,3,0.97807765
343,1,1.0
